id,year,Hispanic,Female,Grades,tobacco,alcohol,mj,sibsmoke,sibdrink,adultdrink,year_value,present,school,has_sib,exposure_smoke,exposure_drink,exposure_mj
52,4,0,0,3,0,0,0,0,0,0,2013,1,111,1,0,1,0
53,2,1,1,3.5,0,1,0,0,0,1,2011,1,111,1,0,0.25,0
53,3,1,1,3.5,0,1,0,0,0,0,2012,1,111,1,0,0,0
53,4,1,1,3.5,0,1,0,1,1,1,2013,1,111,1,0,0.5,0.5
54,2,1,0,4.5,0,0,0,0,0,1,2011,1,111,1,0.428571428571429,0.428571428571429,0.428571428571429
54,3,1,0,3.5,0,0,0,0,0,1,2012,1,111,1,0.333333333333333,0.666666666666667,0.666666666666667
54,4,1,0,3.5,0,0,0,0,0,1,2013,1,111,1,0.5,0.75,0.5
55,1,1,0,2.5,0,0,0,0,0,1,2010,1,111,1,-1,-1,-1
55,4,1,0,2.5,1,1,1,1,1,1,2013,1,111,1,1,1,1
56,3,1,0,2.5,0,0,0,0,0,1,2012,1,111,1,0,0,0
56,4,1,0,3,1,0,0,0,0,1,2013,1,111,1,1,1,1
57,1,0,0,3.5,0,0,0,0,0,0,2010,1,111,1,-1,-1,-1
57,2,0,0,4.5,0,0,0,0,0,1,2011,1,111,0,0.25,0.5,0.25
57,3,0,0,3.5,0,1,0,0,0,1,2012,1,111,1,0,0.2,0.2
57,4,0,0,3.5,0,1,0,0,0,0,2013,1,111,1,0.2,0.4,0
58,3,1,1,4,0,0,0,0,0,1,2012,1,111,1,0,0,0
58,4,1,1,4.5,0,0,0,0,0,1,2013,1,111,1,0,0.5,0
59,2,0,1,2.5,0,0,0,0,0,1,2011,1,111,1,0,0,0
59,3,0,1,2.5,0,0,0,0,0,0,2012,1,111,1,0.0833333333333333,0.166666666666667,0
59,4,0,1,2.5,0,0,0,0,0,1,2013,1,111,1,0,0,0
60,1,0,1,4.5,0,0,0,0,0,0,2010,1,111,1,-1,-1,-1
60,2,0,1,5,0,0,0,0,0,0,2011,1,111,1,0,0,0
60,4,0,1,4.5,0,1,0,0,0,0,2013,1,111,1,0,0,0
62,2,1,1,5,0,1,0,0,0,0,2011,1,111,1,0.166666666666667,0.5,0.166666666666667
62,4,1,1,5,0,1,0,0,0,1,2013,1,111,1,0,0,0
63,1,0,1,4,0,0,0,0,0,0,2010,1,111,1,-1,-1,-1
63,2,0,1,4.5,0,0,0,0,0,1,2011,1,111,1,0,0,0
63,3,0,1,4.5,0,0,0,0,0,1,2012,1,111,1,0,0.333333333333333,0
63,4,0,1,4.5,0,0,0,0,0,1,2013,1,111,1,0,0.666666666666667,0
64,3,0,0,4.5,0,1,0,0,0,0,2012,1,111,1,0,0,0
64,4,0,0,3.5,0,1,0,0,1,0,2013,1,111,1,0,0.5,0.5
66,1,1,0,3.5,0,0,0,0,0,0,2010,1,111,1,-1,-1,-1
66,2,1,0,3.5,0,0,0,0,0,0,2011,1,111,1,0,0,0
66,3,1,0,3.5,0,0,0,0,0,1,2012,1,111,1,0,0,0
66,4,1,0,4.5,0,0,0,0,1,1,2013,1,111,1,0,0,0
68,1,1,0,3.5,0,0,0,0,0,1,2010,1,111,1,-1,-1,-1
68,2,1,0,3.5,0,0,0,0,0,1,2011,1,111,1,0,1,0
69,3,0,0,5,0,0,0,0,0,0,2012,1,111,1,0,0,0
69,4,0,0,4.5,0,0,0,0,0,0,2013,1,111,1,0,0,0
70,1,1,1,3.5,0,1,1,0,1,0,2010,1,111,1,-1,-1,-1
70,3,1,1,3.5,0,1,1,0,0,1,2012,1,111,1,0,0,0
70,4,1,1,3.5,0,1,1,0,1,0,2013,1,111,1,0.5,1,0.5
71,1,1,1,3,0,1,0,0,0,1,2010,1,111,1,-1,-1,-1
71,2,1,1,3.5,0,1,0,0,0,1,2011,1,111,1,0.333333333333333,0.333333333333333,0.333333333333333
71,3,1,1,3.5,0,1,0,0,0,1,2012,1,111,1,1,1,1
71,4,1,1,3.5,1,1,1,0,0,1,2013,1,111,1,0.75,1,0.75
72,1,1,0,4.5,0,1,0,0,0,0,2010,1,111,1,-1,-1,-1
72,4,1,0,3.5,0,1,1,0,0,0,2013,1,111,1,0,0,0
74,1,1,1,3.5,0,0,0,0,0,1,2010,1,111,1,-1,-1,-1
74,3,1,1,3.5,0,0,0,0,0,1,2012,1,111,1,0,0,0
74,4,1,1,3.5,0,0,0,1,1,0,2013,1,111,1,0.2,0.6,0.6
75,1,1,1,4.5,0,1,0,1,0,1,2010,1,111,1,-1,-1,-1
75,2,1,1,4,0,1,1,1,0,1,2011,1,111,1,0.2,0.5,0.4
75,4,1,1,4.5,1,1,1,1,1,0,2013,1,111,1,0.571428571428571,0.714285714285714,0.571428571428571
77,1,0,0,5,0,0,0,0,0,0,2010,1,111,1,-1,-1,-1
